Val[Epoch: [144], mean_loss: 0.4157, mIoU: 0.7949, Acc: 0.9093, Acc_class: 0.8700, fwIoU: 0.8344, RRecall: 0.9592, RNum: 5.2]
Val[Epoch: [145], mean_loss: 0.4149, mIoU: 0.7919, Acc: 0.9083, Acc_class: 0.8659, fwIoU: 0.8324, RRecall: 0.9546, RNum: 5.3]
Val[Epoch: [146], mean_loss: 0.4143, mIoU: 0.7919, Acc: 0.9083, Acc_class: 0.8659, fwIoU: 0.8324, RRecall: 0.9538, RNum: 5.2]
Val[Epoch: [147], mean_loss: 0.4162, mIoU: 0.7869, Acc: 0.9065, Acc_class: 0.8601, fwIoU: 0.8288, RRecall: 0.9470, RNum: 5.2]
Val[Epoch: [148], mean_loss: 0.4139, mIoU: 0.7979, Acc: 0.9106, Acc_class: 0.8729, fwIoU: 0.8367, RRecall: 0.9612, RNum: 5.2]
Val[Epoch: [149], mean_loss: 0.4121, mIoU: 0.7993, Acc: 0.9113, Acc_class: 0.8737, fwIoU: 0.8379, RRecall: 0.9612, RNum: 5.3]
Val[Epoch: [150], mean_loss: 0.4144, mIoU: 0.7961, Acc: 0.9098, Acc_class: 0.8710, fwIoU: 0.8354, RRecall: 0.9585, RNum: 5.1]
Val[Epoch: [151], mean_loss: 0.4135, mIoU: 0.7993, Acc: 0.9109, Acc_class: 0.8750, fwIoU: 0.8375, RRecall: 0.9630, RNum: 5.2]
Val[Epoch: [152], mean_loss: 0.4139, mIoU: 0.7991, Acc: 0.9109, Acc_class: 0.8747, fwIoU: 0.8375, RRecall: 0.9640, RNum: 5.3]
Val[Epoch: [153], mean_loss: 0.4139, mIoU: 0.7984, Acc: 0.9107, Acc_class: 0.8738, fwIoU: 0.8370, RRecall: 0.9612, RNum: 5.2]
Val[Epoch: [154], mean_loss: 0.4138, mIoU: 0.7954, Acc: 0.9095, Acc_class: 0.8704, fwIoU: 0.8348, RRecall: 0.9576, RNum: 5.2]
Val[Epoch: [155], mean_loss: 0.4131, mIoU: 0.7940, Acc: 0.9092, Acc_class: 0.8681, fwIoU: 0.8339, RRecall: 0.9569, RNum: 5.3]
Val[Epoch: [156], mean_loss: 0.4141, mIoU: 0.7976, Acc: 0.9102, Acc_class: 0.8737, fwIoU: 0.8362, RRecall: 0.9628, RNum: 5.2]
